trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.7, 'e': 0.27075425951199406}",25,0,11.053680168328231,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.7, 'e': 0.2680467169168741}",25,10,-36.17824058630164,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
132,False,"{'a': 0.7, 'e': 0.26536624974770534}",25,14,15.431328484118543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.2627125872502283}",30,16,28.38032619726808,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.26008546137772603}",20,0,7.420086537764228,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.7, 'e': 0.25748460676394874}",20,13,-17.008237255809462,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963093}",20,11,18.0593845492696,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.2523606630893462}",25,10,25.93572041341636,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.2498370564584527}",25,18,11.615026749244567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.24733868589386818}",20,0,-12.387447094056006,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.7, 'e': 0.24486529903492948}",20,0,-28.776353077961822,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
141,False,"{'a': 0.7, 'e': 0.2424166460445802}",35,7,26.438322332747894,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.2399924795841344}",20,4,28.115692887745666,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",25,13,1.6605017494635488,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.23521662924041012}",20,16,7.744917333166743,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",20,12,9.20828414527685,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",20,10,-27.305726833312033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",20,5,14.495031966585344,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",20,8,21.78089496694806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.2236886739786474}",25,11,14.517821985590306,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.22145178723886091}",30,4,-24.28480167533501,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.7, 'e': 0.2192372693664723}",20,4,14.067249746260488,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.21704489667280757}",20,8,10.607859657407785,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.2148744477060795}",20,0,16.18389920411925,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.2127257032290187}",20,15,-1.7307938929279398,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.21059844619672852}",30,19,-5.868033843771515,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.20849246173476124}",25,15,18.75642605765625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.2064075371174136}",25,13,9.817410820039496,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
